a b c d e f g h i
330 -999 -0.2159 -0.5708 0.0683 -999 -0.2006 -0.4696 0.058
331 -999 -0.25 -0.6136 0.0686 -999 -0.2031 -0.4739 0.0557
332 -999 -0.2132 -0.5668 0.1097 -999 -0.2052 -0.4789 0.053
333 -999 -0.179 -0.5448 0.2261 -999 -0.2071 -0.4819 0.0514
334 -999 -0.2421 -0.6039 0.0664 -999 -0.2091 -0.4854 0.0501
335 -999 -0.307 -0.6834 0.0215 -999 -0.2107 -0.4879 0.0485
336 -999 -0.2436 -0.6026 0.064 -999 -0.2118 -0.4907 0.0454
337 -999 -0.2388 -0.6469 0.0783 -999 -0.2129 -0.4936 0.0427
338 -999 -0.2809 -0.6658 0.0391 -999 -0.2138 -0.4975 0.0417
339 -999 -0.3384 -0.7508 0.0325 -999 -0.2146 -0.5007 0.0408
