481505.45055924	-1621170.77897102	163.45800469 -74.5260294024 26.177 58476.6947569
481505.45445205	-1621170.77963737	163.45800457 -74.5260293866 26.164 58476.6949306
481505.45020755	-1621170.78017132	163.458004713 -74.5260293929 26.168 58476.6951042
481505.45217704	-1621170.77519144	163.458004601 -74.526029431 26.179 58476.6952778
481505.44965344	-1621170.77830569	163.458004713 -74.5260294105 26.179 58476.6954514
481505.45497427	-1621170.78035895	163.45800456 -74.526029379 26.169 58476.695625
481505.45135472	-1621170.77895392	163.458004664 -74.5260294005 26.174 58476.6957986
481505.45654949	-1621170.78027175	163.458004508 -74.5260293757 26.174 58476.6959722
481505.45793226	-1621170.77849989	163.458004446 -74.5260293875 26.167 58476.6961458
481505.45586352	-1621170.77889517	163.458004517 -74.5260293894 26.179 58476.6963194
481505.45326984	-1621170.77970012	163.458004609 -74.5260293891 26.178 58476.6964931
481505.45319057	-1621170.77798185	163.458004595 -74.5260294042 26.18 58476.6966667
481505.45518481	-1621170.78003110	163.45800455 -74.5260293813 26.171 58476.6968403
481505.45498961	-1621170.77937389	163.45800455 -74.5260293875 26.179 58476.6970139
481505.45526218	-1621170.78495673	163.458004595 -74.5260293384 26.169 58476.6971875
481505.45430379	-1621170.77841253	163.458004563 -74.5260293976 26.168 58476.6973611
481505.45374000	-1621170.78397847	163.458004635 -74.5260293508 26.165 58476.6975347
481505.45238782	-1621170.77548643	163.458004597 -74.5260294279 26.18 58476.6977083
481505.44929340	-1621170.77419074	163.458004685 -74.5260294471 26.175 58476.6978819
481505.45281656	-1621170.77029512	163.458004533 -74.5260294718 26.178 58476.6980556
481505.45227093	-1621170.77405617	163.458004587 -74.5260294406 26.182 58476.6982292
481505.45542763	-1621170.77379917	163.458004482 -74.5260294347 26.176 58476.6984028
481505.45065558	-1621170.77608167	163.458004659 -74.5260294272 26.175 58476.6985764
481505.45365103	-1621170.77351938	163.458004537 -74.5260294417 26.171 58476.69875
481505.45460639	-1621170.77227820	163.458004494 -74.52602945 26.179 58476.6989236
481505.45545330	-1621170.77512964	163.458004494 -74.5260294231 26.17 58476.6990972
481505.45178329	-1621170.77334740	163.458004596 -74.526029448 26.178 58476.6992708
481505.45692826	-1621170.77594889	163.458004454 -74.5260294122 26.164 58476.6994444
481505.44972932	-1621170.77130435	163.458004643 -74.526029471 26.194 58476.6996181
481505.45435186	-1621170.77266525	163.458004506 -74.5260294473 26.176 58476.6997917
481505.45659768	-1621170.77483588	163.458004454 -74.5260294227 26.164 58476.6999653
481505.45572248	-1621170.77199285	163.458004455 -74.5260294496 26.176 58476.7001389
481505.45536123	-1621170.77284994	163.458004475 -74.5260294431 26.168 58476.7003125
481505.45959164	-1621170.77651900	163.458004373 -74.5260294004 26.164 58476.7004861
481505.45630134	-1621170.77280142	163.458004444 -74.5260294411 26.169 58476.7006597
481505.45937307	-1621170.77236202	163.45800434 -74.526029437 26.174 58476.7008333
481505.46017909	-1621170.77517946	163.458004341 -74.5260294105 26.17 58476.7010069
